Boro,Vol,geometry,congestion,congestion_level,timestamp,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Street Name
Queens,61,"POLYGON ((-73.87654158461574 40.73640908537829, -73.87653904173183 40.73778146036058, -73.87834328849227 40.7377833804758, -73.87834579421481 40.73641100545433, -73.87654158461574 40.73640908537829))",0.1349,0,2024-01-14 10:00:00,New York City Police Department,Encampment,,Subway,
Brooklyn,55,"POLYGON ((-73.91083815233019 40.70048814752186, -73.91083631684495 40.70186052976721, -73.91263959228006 40.70186191256544, -73.91264139064388 40.70048953029187, -73.91083815233019 40.70048814752186))",0.88528125,0,2024-06-10 15:15:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,LINDEN STREET
Brooklyn,130,"POLYGON ((-73.97995444742287 40.64654804661229, -73.97995403509881 40.64792043844988, -73.98175585352463 40.64792073839676, -73.98175622878722 40.64654834655306, -73.97995444742287 40.64654804661229))",0.0,0,2025-02-22 16:30:00,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,
Bronx,121,"POLYGON ((-73.84152954456823 40.86780053391224, -73.84152627408959 40.86917287924508, -73.84333408468446 40.86917534782106, -73.84333731785483 40.86780300243788, -73.84152954456823 40.86780053391224))",0.32902439,0,2024-09-12 13:30:00,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,ONEIL PLACE
Manhattan,65,"POLYGON ((-73.9320339827327 40.794668558167224, -73.93203258160518 40.79604092223327, -73.93383840857327 40.79604197291632, -73.93383977247424 40.79466960882884, -73.9320339827327 40.794668558167224))",2.820636364,2,2024-09-11 13:15:00,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,EAST  116 STREET
Brooklyn,14,"POLYGON ((-73.91083815233019 40.70048814752186, -73.91083631684495 40.70186052976721, -73.91263959228006 40.70186191256544, -73.91264139064388 40.70048953029187, -73.91083815233019 40.70048814752186))",-0.843125,0,2024-06-14 00:00:00,Department of Transportation,Street Condition,Pothole,,
Brooklyn,27,"POLYGON ((-73.96628726515767 40.58021135286303, -73.96628657239728 40.58158375394024, -73.96808660106743 40.58158426803369, -73.96808725683992 40.580211866946, -73.96628726515767 40.58021135286303))",0.974277778,0,2025-07-08 09:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,OCEAN PARKWAY
Brooklyn,27,"POLYGON ((-73.96628726515767 40.58021135286303, -73.96628657239728 40.58158375394024, -73.96808660106743 40.58158426803369, -73.96808725683992 40.580211866946, -73.96628726515767 40.58021135286303))",0.974277778,0,2025-07-08 09:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,OCEAN PARKWAY
Queens,9,"POLYGON ((-73.78771245795055 40.75797663326626, -73.78770808403227 40.759349001353684, -73.78951291153507 40.759352313156434, -73.78951724826818 40.75797994500144, -73.78771245795055 40.75797663326626))",1.349,1,2024-11-22 08:45:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,193 STREET
Bronx,38,"POLYGON ((-73.92835908518103 40.80740603366862, -73.92835760801243 40.808778394905765, -73.93016378051031 40.80877950315876, -73.93016522043811 40.80740714189901, -73.92835908518103 40.80740603366862))",1.55135,1,2025-04-04 10:45:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,LINCOLN AVENUE
Manhattan,20,"POLYGON ((-73.94974825825116 40.79679299587084, -73.94974722227242 40.79816535966469, -73.95155310710966 40.798166132816135, -73.95155410585946 40.796793769006534, -73.94974825825116 40.79679299587084))",-0.476117647,0,2024-02-28 00:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST  110 STREET
Bronx,96,"POLYGON ((-73.84152954456823 40.86780053391224, -73.84152627408959 40.86917287924508, -73.84333408468446 40.86917534782106, -73.84333731785483 40.86780300243788, -73.84152954456823 40.86780053391224))",-0.082256098,0,2024-09-14 10:00:00,Department of Transportation,Street Light Condition,Street Light Out,,O NEIL PLACE
Brooklyn,22,"POLYGON ((-73.907235872648 40.69702295173905, -73.90723396310555 40.698395334535086, -73.90903714473838 40.69839677377263, -73.9090390171633 40.69702439094721, -73.907235872648 40.69702295173905))",0.112416667,0,2024-03-27 08:45:00,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,CORNELIA STREET
Brooklyn,35,"POLYGON ((-73.907235872648 40.69702295173905, -73.90723396310555 40.698395334535086, -73.90903714473838 40.69839677377263, -73.9090390171633 40.69702439094721, -73.907235872648 40.69702295173905))",0.843125,0,2024-03-28 08:00:00,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,JEFFERSON AVENUE
Brooklyn,25,"POLYGON ((-73.907235872648 40.69702295173905, -73.90723396310555 40.698395334535086, -73.90903714473838 40.69839677377263, -73.9090390171633 40.69702439094721, -73.907235872648 40.69702295173905))",0.281041667,0,2024-03-28 08:45:00,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,JEFFERSON AVENUE
Manhattan,9,"POLYGON ((-73.94974825825116 40.79679299587084, -73.94974722227242 40.79816535966469, -73.95155310710966 40.798166132816135, -73.95155410585946 40.796793769006534, -73.94974825825116 40.79679299587084))",-0.912558824,0,2024-02-28 00:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST  110 STREET
Brooklyn,31,"POLYGON ((-73.907235872648 40.69702295173905, -73.90723396310555 40.698395334535086, -73.90903714473838 40.69839677377263, -73.9090390171633 40.69702439094721, -73.907235872648 40.69702295173905))",0.618291667,0,2024-03-28 16:30:00,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,JEFFERSON AVENUE
Brooklyn,29,"POLYGON ((-73.907235872648 40.69702295173905, -73.90723396310555 40.698395334535086, -73.90903714473838 40.69839677377263, -73.9090390171633 40.69702439094721, -73.907235872648 40.69702295173905))",0.505875,0,2024-03-28 19:00:00,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,JEFFERSON AVENUE
Brooklyn,37,"POLYGON ((-73.907235872648 40.69702295173905, -73.90723396310555 40.698395334535086, -73.90903714473838 40.69839677377263, -73.9090390171633 40.69702439094721, -73.907235872648 40.69702295173905))",0.955541667,0,2024-03-29 11:45:00,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,JEFFERSON AVENUE
Queens,7,"POLYGON ((-73.78771245795055 40.75797663326626, -73.78770808403227 40.759349001353684, -73.78951291153507 40.759352313156434, -73.78951724826818 40.75797994500144, -73.78771245795055 40.75797663326626))",0.899333333,0,2024-11-22 08:45:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,193 STREET
Bronx,10,"POLYGON ((-73.92786156576815 40.807569374029164, -73.92786007833753 40.80894173522378, -73.92966625525976 40.80894285127137, -73.9296677054494 40.807570490053976, -73.92786156576815 40.807569374029164))",-0.33725,0,2025-04-04 10:45:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,LINCOLN AVENUE
Brooklyn,20,"POLYGON ((-73.90286547415965 40.69193210427665, -73.90286347480559 40.69330448788451, -73.904666518663 40.69330599559639, -73.9046684809052 40.69193361195774, -73.90286547415965 40.69193210427665))",-0.626321429,0,2024-04-14 02:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,SCHAEFER STREET
Brooklyn,121,"POLYGON ((-73.96522558826223 40.68898708757481, -73.96522487251978 40.690359472425946, -73.9670278376802 40.69036000312396, -73.96702851631399 40.688987618261976, -73.96522558826223 40.68898708757481))",0.518846154,0,2025-12-11 14:15:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,DEKALB AVENUE
Brooklyn,48,"POLYGON ((-73.90286547415965 40.69193210427665, -73.90286347480559 40.69330448788451, -73.904666518663 40.69330599559639, -73.9046684809052 40.69193361195774, -73.90286547415965 40.69193210427665))",0.722678571,0,2024-04-20 18:45:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,SCHAEFER STREET
Brooklyn,66,"POLYGON ((-73.97893945369283 40.67664075110173, -73.97893902029553 40.67801313811022, -73.98074165175592 40.67801345395193, -73.9807420480583 40.67664106693698, -73.97893945369283 40.67664075110173))",0.843125,0,2024-03-25 15:15:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,BERKELEY PLACE
Brooklyn,63,"POLYGON ((-73.97893945369283 40.67664075110173, -73.97893902029553 40.67801313811022, -73.98074165175592 40.67801345395193, -73.9807420480583 40.67664106693698, -73.97893945369283 40.67664075110173))",0.71665625,0,2024-03-25 15:30:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,BERKELEY PLACE
Brooklyn,63,"POLYGON ((-73.97893945369283 40.67664075110173, -73.97893902029553 40.67801313811022, -73.98074165175592 40.67801345395193, -73.9807420480583 40.67664106693698, -73.97893945369283 40.67664075110173))",0.71665625,0,2024-03-25 15:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,BERKELEY PLACE
Brooklyn,56,"POLYGON ((-73.97893945369283 40.67664075110173, -73.97893902029553 40.67801313811022, -73.98074165175592 40.67801345395193, -73.9807420480583 40.67664106693698, -73.97893945369283 40.67664075110173))",0.4215625,0,2024-03-25 16:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,BERKELEY PLACE
Brooklyn,72,"POLYGON ((-73.95087214522715 40.69064093691866, -73.95087113403069 40.692013321377466, -73.95267414377706 40.69201407695481, -73.95267511786304 40.69064169248059, -73.95087214522715 40.69064093691866))",-0.213,0,2024-12-03 09:30:00,Department of Transportation,Street Condition,Blocked - Construction,Street,NOSTRAND AVENUE
Brooklyn,98,"POLYGON ((-73.95087214522715 40.69064093691866, -73.95087113403069 40.692013321377466, -73.95267414377706 40.69201407695481, -73.95267511786304 40.69064169248059, -73.95087214522715 40.69064093691866))",0.71,0,2024-12-03 13:00:00,Department of Transportation,Street Light Condition,Street Light Out,,NOSTRAND AVENUE
Manhattan,133,"POLYGON ((-74.00199665383592 40.707824160860795, -74.00199669494354 40.70919654251031, -74.003800169731 40.70919649710072, -74.0038000914937 40.70782411545215, -74.00199665383592 40.707824160860795))",0.298034884,0,2024-03-14 14:00:00,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,PEARL STREET
Manhattan,121,"POLYGON ((-74.00199665383592 40.707824160860795, -74.00199669494354 40.70919654251031, -74.003800169731 40.70919649710072, -74.0038000914937 40.70782411545215, -74.00199665383592 40.707824160860795))",-0.078430233,0,2024-03-12 14:00:00,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,PEARL STREET
Manhattan,122,"POLYGON ((-74.00199665383592 40.707824160860795, -74.00199669494354 40.70919654251031, -74.003800169731 40.70919649710072, -74.0038000914937 40.70782411545215, -74.00199665383592 40.707824160860795))",-0.04705814,0,2024-03-14 14:00:00,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,PEARL STREET
Brooklyn,139,"POLYGON ((-73.99070322092639 40.68875035762872, -73.99070302957661 40.69012274262093, -73.99250598845698 40.69012287415301, -73.99250614269835 40.68875048915813, -73.99070322092639 40.68875035762872))",0.899333333,0,2025-03-19 07:30:00,Department of Transportation,Traffic Signal Condition,Controller,,
Brooklyn,97,"POLYGON ((-73.95087214522715 40.69064093691866, -73.95087113403069 40.692013321377466, -73.95267414377706 40.69201407695481, -73.95267511786304 40.69064169248059, -73.95087214522715 40.69064093691866))",0.6745,0,2024-12-11 13:15:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,KOSCIUSZKO STREET
Brooklyn,87,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.767534483,0,2025-06-01 14:00:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Brooklyn,99,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",1.046637931,1,2025-06-01 15:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,OLD FULTON STREET
Brooklyn,93,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.907086207,0,2025-06-01 16:45:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Brooklyn,100,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",1.069896552,1,2025-06-01 21:00:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Brooklyn,46,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",-0.186068966,0,2025-06-01 23:15:00,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,WATER STREET
Brooklyn,108,"POLYGON ((-73.99070322092639 40.68875035762872, -73.99070302957661 40.69012274262093, -73.99250598845698 40.69012287415301, -73.99250614269835 40.68875048915813, -73.99070322092639 40.68875035762872))",0.20235,0,2025-03-23 11:45:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,COURT STREET
Brooklyn,99,"POLYGON ((-73.94735937803709 40.689933069369935, -73.94735829454902 40.691305453918744, -73.94916128511333 40.69130626453192, -73.9491623314917 40.68993387996656, -73.94735937803709 40.689933069369935))",0.174064516,0,2024-12-03 19:45:00,Department of Transportation,Street Condition,Blocked - Construction,Street,MARCY AVENUE
Brooklyn,99,"POLYGON ((-73.94735937803709 40.689933069369935, -73.94735829454902 40.691305453918744, -73.94916128511333 40.69130626453192, -73.9491623314917 40.68993387996656, -73.94735937803709 40.689933069369935))",0.174064516,0,2024-12-03 19:45:00,Department of Transportation,Street Condition,Blocked - Construction,Street,MARCY AVENUE
Brooklyn,92,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.883827586,0,2025-06-04 16:00:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Brooklyn,91,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.860568966,0,2025-06-04 18:00:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Brooklyn,50,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",-0.093034483,0,2025-06-05 11:30:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Brooklyn,70,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.372137931,0,2025-06-05 11:45:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WATER STREET
Brooklyn,92,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.883827586,0,2025-06-05 14:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WATER STREET
Brooklyn,76,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.511689655,0,2025-06-05 14:45:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Brooklyn,76,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.511689655,0,2025-06-05 14:45:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WATER STREET
Brooklyn,93,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.907086207,0,2025-06-05 15:30:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,ELIZABETH PLACE
Brooklyn,124,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",1.628103448,1,2025-06-05 15:45:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Bronx,126,"POLYGON ((-73.84214963396792 40.858153875054015, -73.84214637675906 40.859526222761566, -73.84395392515691 40.85952868162896, -73.84395714506833 40.858156333871264, -73.84214963396792 40.858153875054015))",1.287681818,1,2025-04-21 11:15:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,EASTCHESTER ROAD
Brooklyn,122,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",1.581586207,1,2025-06-05 18:15:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Brooklyn,122,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",1.581586207,1,2025-06-05 18:15:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WATER STREET
Manhattan,167,"POLYGON ((-73.93462499666411 40.827749261818816, -73.9346236482806 40.82912161854751, -73.9364303730979 40.8291226286245, -73.93643168421787 40.8277502718752, -73.93462499666411 40.827749261818816))",0.277735294,0,2024-03-05 09:45:00,Department of Transportation,Traffic Signal Condition,Controller,,
Brooklyn,34,"POLYGON ((-73.97893945369283 40.67664075110173, -73.97893902029553 40.67801313811022, -73.98074165175592 40.67801345395193, -73.9807420480583 40.67664106693698, -73.97893945369283 40.67664075110173))",-0.505875,0,2024-03-22 09:00:00,Department of Parks and Recreation,New Tree Request,For One Address,Street,5 AVENUE
Queens,216,"POLYGON ((-73.89614589404492 40.753643811402526, -73.89614375439905 40.75501618342046, -73.89794846849146 40.75501779638342, -73.8979505709567 40.75364542433258, -73.89614589404492 40.753643811402526))",1.646573529,1,2024-06-07 17:45:00,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,NORTHERN BOULEVARD
Queens,50,"POLYGON ((-73.89614589404492 40.753643811402526, -73.89614375439905 40.75501618342046, -73.89794846849146 40.75501779638342, -73.8979505709567 40.75364542433258, -73.89614589404492 40.753643811402526))",-1.646573529,0,2024-06-08 06:30:00,Department of Transportation,Street Condition,Pothole,,
Manhattan,88,"POLYGON ((-73.93462499666411 40.827749261818816, -73.9346236482806 40.82912161854751, -73.9364303730979 40.8291226286245, -73.93643168421787 40.8277502718752, -73.93462499666411 40.827749261818816))",-0.767078431,0,2024-03-07 23:00:00,Department of Transportation,Street Sign - Dangling,Bus Stop,Street,MACOMBS PLACE
Queens,163,"POLYGON ((-73.89614589404492 40.753643811402526, -73.89614375439905 40.75501618342046, -73.89794846849146 40.75501779638342, -73.8979505709567 40.75364542433258, -73.89614589404492 40.753643811402526))",0.595147059,0,2024-06-10 08:00:00,Department of Transportation,Street Condition,Pothole,,
Bronx,65,"POLYGON ((-73.8400522681409 40.85462383716716, -73.84004896782857 40.85599618566797, -73.84185642021284 40.85599867739687, -73.84185968323169 40.85462632884524, -73.8400522681409 40.85462383716716))",3.0,2,2024-03-06 09:00:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,RHINELANDER AVENUE
Manhattan,285,"POLYGON ((-73.93291959036472 40.827414501543075, -73.93291820681355 40.82878685832842, -73.9347249225151 40.82878789512412, -73.93472626880308 40.82741553831763, -73.93291959036472 40.827414501543075))",0.800254237,0,2024-11-05 11:30:00,Department of Transportation,Street Light Condition,Street Light Out,,MACOMBS DAM BRIDGE
Queens,158,"POLYGON ((-73.89614589404492 40.753643811402526, -73.89614375439905 40.75501618342046, -73.89794846849146 40.75501779638342, -73.8979505709567 40.75364542433258, -73.89614589404492 40.753643811402526))",0.495955882,0,2024-06-07 17:45:00,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,NORTHERN BOULEVARD
Queens,109,"POLYGON ((-73.89614589404492 40.753643811402526, -73.89614375439905 40.75501618342046, -73.89794846849146 40.75501779638342, -73.8979505709567 40.75364542433258, -73.89614589404492 40.753643811402526))",-0.476117647,0,2024-06-08 06:30:00,Department of Transportation,Street Condition,Pothole,,
Manhattan,201,"POLYGON ((-73.93462499666411 40.827749261818816, -73.9346236482806 40.82912161854751, -73.9364303730979 40.8291226286245, -73.93643168421787 40.8277502718752, -73.93462499666411 40.827749261818816))",0.727401961,0,2024-03-05 09:45:00,Department of Transportation,Traffic Signal Condition,Controller,,
Queens,107,"POLYGON ((-73.78723589990896 40.75719526523374, -73.78723151622326 40.7585676334596, -73.78903632253046 40.758570952729194, -73.7890406690319 40.75719858443559, -73.78723589990896 40.75719526523374))",-0.442506369,0,2024-11-16 21:45:00,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,193 STREET
Brooklyn,120,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",1.074203704,1,2024-11-09 14:45:00,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,ATLANTIC AVENUE
Manhattan,110,"POLYGON ((-73.93462499666411 40.827749261818816, -73.9346236482806 40.82912161854751, -73.9364303730979 40.8291226286245, -73.93643168421787 40.8277502718752, -73.93462499666411 40.827749261818816))",-0.476117647,0,2024-03-07 23:00:00,Department of Transportation,Street Sign - Dangling,Bus Stop,Street,MACOMBS PLACE
Brooklyn,275,"POLYGON ((-73.97623660930242 40.682929495218104, -73.97623612023814 40.68430188115971, -73.97803892168663 40.68430223934618, -73.978039373649 40.682929853397276, -73.97623660930242 40.682929495218104))",1.349,1,2024-06-08 17:30:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,PACIFIC STREET
Brooklyn,187,"POLYGON ((-73.97623660930242 40.682929495218104, -73.97623612023814 40.68430188115971, -73.97803892168663 40.68430223934618, -73.978039373649 40.682929853397276, -73.97623660930242 40.682929495218104))",-0.346885714,0,2024-06-05 11:45:00,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,ATLANTIC AVENUE
Brooklyn,226,"POLYGON ((-73.97623660930242 40.682929495218104, -73.97623612023814 40.68430188115971, -73.97803892168663 40.68430223934618, -73.978039373649 40.682929853397276, -73.97623660930242 40.682929495218104))",0.4047,0,2024-06-06 20:45:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,PACIFIC STREET
Brooklyn,11,"POLYGON ((-73.86701163197326 40.67267931091384, -73.86700889541765 40.67405169703717, -73.86881141782858 40.674053766490644, -73.86881411729382 40.672681380325095, -73.86701163197326 40.67267931091384))",-1.438933333,0,2024-03-26 01:30:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,HEMLOCK STREET
Brooklyn,7,"POLYGON ((-73.86701163197326 40.67267931091384, -73.86700889541765 40.67405169703717, -73.86881141782858 40.674053766490644, -73.86881411729382 40.672681380325095, -73.86701163197326 40.67267931091384))",-1.6188,0,2024-03-26 01:30:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,HEMLOCK STREET
Brooklyn,99,"POLYGON ((-73.99621598209588 40.67915511976305, -73.996215904223 40.680527506389666, -73.99801860369261 40.68052755155368, -73.99801864446775 40.67915516492614, -73.99621598209588 40.67915511976305))",0.43516129,0,2024-05-16 13:00:00,Department of Transportation,Broken Parking Meter,No Receipt,Street,COURT STREET
Brooklyn,96,"POLYGON ((-73.99621598209588 40.67915511976305, -73.996215904223 40.680527506389666, -73.99801860369261 40.68052755155368, -73.99801864446775 40.67915516492614, -73.99621598209588 40.67915511976305))",0.369887097,0,2024-05-17 14:00:00,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Street,1 PLACE
Queens,61,"POLYGON ((-73.86030453146239 40.75827795394664, -73.86030165319804 40.75965032425858, -73.86210649183987 40.759652498751464, -73.8621093329185 40.75828012839516, -73.86030453146239 40.75827795394664))",0.8094,0,2024-03-13 17:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,107 STREET
Brooklyn,112,"POLYGON ((-73.98337049307226 40.638435194550866, -73.98337015105562 40.63980758763599, -73.98517175042916 40.6398078340643, -73.98517205539332 40.63843544097414, -73.98337049307226 40.638435194550866))",0.899333333,0,2024-05-06 11:45:00,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,14 AVENUE
Brooklyn,106,"POLYGON ((-73.9627890443778 40.62424297443791, -73.96278827922829 40.62561536952086, -73.96458949538663 40.62561593841089, -73.96459022349943 40.62424354331634, -73.9627890443778 40.62424297443791))",1.478711538,1,2024-03-20 08:00:00,Department of Transportation,Street Condition,Pothole,,
Brooklyn,75,"POLYGON ((-73.98337049307226 40.638435194550866, -73.98337015105562 40.63980758763599, -73.98517175042916 40.6398078340643, -73.98517205539332 40.63843544097414, -73.98337049307226 40.638435194550866))",-0.289071429,0,2024-05-12 22:15:00,Department of Sanitation,Litter Basket Complaint,Overflowing,Sidewalk,14 AVENUE
Bronx,33,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",-0.365354167,0,2024-01-15 21:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,CONCORD AVENUE
Bronx,22,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",-0.6745,0,2024-01-16 23:45:00,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,JACKSON AVENUE
Bronx,64,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",0.505875,0,2024-01-15 08:15:00,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,JACKSON AVENUE
